date,absacc,acc,age,agr,bm,bm_ia,cash,cashdebt,cashpr,chatoia,chcsho,chempia,chinv,chpmia,cfp,cfp_ia,cinvest,currat,depr,dy,ep,egr,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsaleinv,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pctacc,quick,rd_sale,rd_mve,realestate,roic,salecash,saleinv,salerec,sgr,sp,tang,tb,chtx,ear,roaq,roavol,roeq,rsup,secured,stdacc,stdcf,sue,aeavol,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom1m,mom6m,mom12m,mom36m,mve,mve_ia,retvol,pricedelay,std_dolvol,std_turn,turn,zerotrade,chfeps,chnanalyst,disp,fgr5yr,nanalyst,sfe,ms,ps,nincr,divi,divo,rd,sin,IPO,convind,securedind
19800131,0.0199764306,-0.020130104,-0.02283481,-0.023014595,0.0964973187,0.093106667,0.0242863502,-0.074934581,0.0247613715,0.0074262632,-0.002832489,-0.061730929,-0.062756974,0.0155558247,-0.062157238,-0.002093195,0.0070165053,0.0687102735,0.0657597951,-0.092362597,0.0028327835,-0.08752227,-0.030576199,0.0092598934,0.0256551273,0.010180197,-0.017410597,0.0223457768,0.0046071029,0.0049641106,-0.047349687,-0.119778211,0.0419048817,0.0127061209,-0.014083539,0.0396653822,0.050312091,-0.004536232,0.0024051139,0.0154610672,-0.010504205,0.0463457562,0.0505455674,-0.059073286,0.0280678427,0.0618710266,-0.091762075,-0.00779441,-0.05529771,-0.008100495,-0.025607338,0.0557613762,-0.039158444,-0.030021995,0.0645047988,0.0456303157,0.0190432471,0.0738679771,0.028943516,0.0115291863,0.0618710266,-0.024274255,-0.026727501,0.0700218122,0.0039260402,0.0729900943,0.1088969771,0.1089206788,0.0140051963,-0.047213618,0.0819577663,0.0139515711,0.132299639,0.0708690388,0.0627194361,0.0382387592,0.0947192384,0.0253217458,-0.053142033,-0.043028353,0.0698316728,0.0417177511,-0.010572495,0.0042937547,0.0585184691,-0.019466931,0.0618710266,0.0618710266,0.0618710266,0.0618710266,0.0618710266,0.0618710266,-0.027751425,-0.036731354,0.0587177142,-0.030914871,-0.030914871,-0.030914871,0.0618710266,0.0618710266,0.013600725,0.0618710266
19800229,0.0016071674,0.009280829,-0.034040993,-0.03343413,0.0349309956,-0.004534404,0.0011701275,-0.007577231,0.0252954598,0.0310966006,-0.004554714,-0.023816112,-0.103688343,0.0532183473,-0.079136683,-0.033133796,-0.028950733,0.0166420486,0.0070814947,-0.064110842,-0.033546925,-0.065056237,0.0171183702,0.015307388,0.0366352269,0.0057739812,0.0008557549,0.0443302697,-0.041007127,-0.001696771,-0.018069673,-0.069444875,0.1187784962,0.0060529141,0.0053821294,0.0208248134,0.0170269595,0.0490229723,0.0475777923,-0.011702532,-0.0652324,0.0742037041,0.0286097359,-0.065786375,-0.090334663,-0.005335867,-0.01499883,0.0235597445,-0.007369618,-0.00460221,-0.063282919,-0.003904232,-0.023047134,0.0766379897,-0.024483396,0.0133673558,0.0395065265,0.0290670239,0.0142801936,-0.033747802,-0.005335867,-0.054539332,-0.057456109,0.0479068494,-0.011930273,0.0193299557,0.0142686494,0.0143640287,0.0673094326,0.0560324244,0.0384425859,-0.039727226,0.1684528743,0.0375040122,0.0469593118,0.1122775338,0.0870532532,-0.015736038,0.0316746599,0.0232990755,0.0440285307,0.0905169722,-0.072808765,-0.015044652,0.0095069029,-0.015642593,-0.005335867,-0.005335867,-0.005335867,-0.005335867,-0.005335867,-0.005335867,-0.025637052,-0.052684417,0.0332163241,-0.020873297,-0.020873297,-0.020873297,-0.005335867,-0.005335867,0.0167603778,-0.005335867
19800331,-0.064995,-0.036266845,-0.011166604,0.0303231993,-0.085949173,-0.067231759,-0.013232755,0.0778005017,-0.025329153,-0.016912056,-0.016322486,0.0274356673,0.0493236549,-0.015910662,0.1010181206,0.0164834052,-0.017874754,-0.086436304,-0.074685154,0.1208936972,0.0270499677,0.0377881195,0.0132091821,-0.030257562,-0.043260773,-0.016775724,0.0063141775,-0.043042038,-0.000885858,0.016044219,0.0230756017,0.0995778399,-0.015438002,-0.019193172,-0.035645219,-0.015535314,-0.065271078,-0.016118385,-0.014896306,0.0345277434,0.0060247736,-0.097613363,-0.074120205,0.0807497739,0.0067640439,-0.113432198,0.0648697546,0.0005265022,0.0493171353,0.0271332987,0.0109558809,-0.056880265,0.066566648,0.019971977,-0.063983179,-0.015780885,-0.001987814,-0.124747053,-0.024006196,-0.036664827,-0.113432198,-0.057369373,-0.055665621,-0.037747755,0.0641948653,-0.100882913,-0.169624614,-0.169621794,-0.023699528,0.0330487497,-0.183793229,-0.053700888,-0.095671214,-0.130569985,-0.113682024,-0.087284375,-0.168221717,-0.035451346,0.0840138792,0.0777996091,-0.144879233,0.0544744821,-0.034923405,-0.110046282,-0.158402265,0.081142826,-0.113432198,-0.113432198,-0.113432198,-0.113432198,-0.113432198,-0.113432198,0.0574692479,0.054174239,-0.009638466,0.0844279057,0.0844279057,0.0844279057,-0.113432198,-0.113432198,0.0008534708,-0.113432198
19800430,-0.040141797,-0.050318396,0.0102467742,0.0146970501,-0.001150094,-0.003149156,-0.06071333,-0.064171509,-0.0679991,-0.01324733,0.0231076992,-0.000743702,-0.02415304,0.0093473502,0.0210972119,0.00951056,-0.052018051,-0.048982313,-0.12694886,0.059463966,0.0053417137,-0.008886838,-0.058915916,-0.021310977,0.049850581,-0.077774248,0.0108743358,-0.006196417,0.0519032836,0.0115459843,-0.056884713,-0.028858034,0.0148298035,-0.01219231,-0.00935944,0.0030021078,-0.019008947,0.0401115994,0.0406607419,0.0290708374,0.0025558001,0.0095323529,-0.053340292,-0.045610391,-0.061922549,0.0510865977,-0.019932056,0.0209977645,0.02656662,-0.008690319,0.0005988798,-0.0184408,0.0010237784,-0.00968228,0.0272606597,0.0383337696,-0.002239434,-0.029597554,0.0358992896,-0.005949324,0.0510865977,0.0486163389,0.0395180652,0.0439414195,-0.024381138,0.0113355884,-0.043613621,-0.043599891,-0.025957818,-0.018242886,0.0098251054,0.0274870645,-0.001245654,0.0263292779,0.0010663822,0.0136296244,0.0038773539,0.0149752874,-0.013304658,-0.024060007,0.001868402,0.0203875348,0.0054944048,0.0079168971,-0.041960242,0.0223415126,0.0510865977,0.0510865977,0.0510865977,0.0510865977,0.0510865977,0.0510865977,-0.04883016,0.0030734139,0.0202653007,-0.017176373,-0.017176373,-0.017176373,0.0510865977,0.0510865977,-0.008504672,0.0510865977
19800530,-0.010076286,0.0014649313,0.010959077,0.0006287364,0.0259163842,0.0005231357,0.008683444,-0.002936606,-0.000246111,0.0197566727,0.0099103104,0.0134037291,0.0113865718,-0.016222404,0.0023602456,-0.023719011,-0.025469778,0.0297846517,-0.005128474,-0.030935198,0.0353756476,0.029453963,0.016779526,0.0107732945,-0.023123056,0.0254612731,0.0114599568,0.0055254701,0.0209307823,-0.019815428,0.0277846954,0.0406449595,-0.033693808,0.004929595,0.0084030147,-0.011141357,0.008460722,0.0266510932,0.0254489882,-0.023531296,0.0030057257,0.0077466554,0.0328759019,-0.01166079,0.0009167967,0.0597287646,-0.006565678,0.0130634638,0.0002275408,0.0092204105,0.0072935534,0.0203311213,-0.013279494,0.0089658229,-0.017463859,-0.004386739,0.0138480594,0.0201076696,0.0293126809,0.025531039,0.0597287646,0.0224592669,0.0154449821,0.0057130862,0.0051919614,0.0171441635,0.0319072445,0.0318996161,-0.052402123,-0.012986821,0.0313132407,0.0300727176,-0.03885715,0.0108237827,-0.047282226,-0.067281369,-0.048934015,-0.012118453,-0.022724364,-0.027124385,0.0230197898,-0.023653783,0.0524443997,0.0499767036,0.0148625646,-0.005716441,0.0597287646,0.0597287646,0.0597287646,0.0597287646,0.0597287646,0.0597287646,0.0012688615,-0.001377412,-0.016889295,-0.000322574,-0.000322574,-0.000322574,0.0597287646,0.0597287646,-0.001478923,0.0597287646
19800630,0.0106238351,0.0061062788,0.001982398,-0.012396516,-0.028016277,-0.014541284,-0.007596372,-0.014528336,-0.00559617,-0.001151839,-0.0091086,0.0075825562,-0.011797786,-0.001260863,-0.012593883,0.0037223727,-0.001946542,0.0057338875,-0.003687622,-0.017926599,-0.018532069,-0.002292845,-0.030301286,-0.03658759,0.0426242406,-0.034059351,0.0249870805,0.0064085768,0.0060372774,-0.004922587,-0.026587817,-0.05259281,0.0005808669,0.0081894863,-0.003257261,0.0015206514,0.0068682177,0.0016653877,0.0000203069,-0.010110463,-0.025864013,0.0309787582,-0.012287338,-0.030654012,-0.033462932,0.0347648754,-0.01200597,-0.002417827,-0.009207446,-0.017495918,0.0087274071,-0.007132542,0.0024925978,-0.031609523,0.0335345377,0.0365061705,0.0141366648,0.0289014094,0.0316311282,-0.01133439,0.0347648754,0.0289255585,0.0417055016,0.0146126104,0.0076537323,0.0423288692,0.0393072037,0.0393083393,-0.043030232,-0.009683617,0.0295748832,0.0228203544,0.0288259482,0.0047039117,-0.063111326,0.0157261471,0.0354692584,0.0238677925,-0.012399032,-0.009493637,-0.000741871,-0.013451746,0.0115700557,0.0044927297,-0.001023177,0.0195596736,0.0347648754,0.0347648754,0.0347648754,0.0347648754,0.0347648754,0.0347648754,-0.008774155,-0.00703224,0.0325232407,-0.031426373,-0.031426373,-0.031426373,0.0347648754,0.0347648754,-0.01880714,0.0347648754
19800731,0.0789808783,0.0707000578,-0.068935271,0.0101174193,0.0116696712,0.0550435655,0.0601763142,0.0291188835,0.1039050093,-0.028102106,0.0255918944,-0.012935885,0.0790268913,0.0205258655,-0.088670919,0.0175520087,-0.028474386,0.1067036285,0.1254661011,-0.116923147,-0.037570885,0.0125655242,0.1042552934,0.0521661177,0.0096389684,0.0608703856,0.0535044208,0.0327196066,-0.079755976,0.0157404261,0.1177821949,0.0689026878,0.0185194722,-0.0143092,0.0099513536,0.0394266263,-0.015664155,-0.020668794,-0.034842861,-0.009684565,-0.041410303,0.0454046997,0.0700403045,0.0869291837,0.0951573711,0.0702585179,0.0282421336,0.0008122534,-0.096905976,0.0601008163,0.0032765541,0.0304405029,-0.009302519,0.012001128,-0.042858686,-0.007159423,0.025072739,0.0715299741,-0.041434904,-0.038443131,0.0702585179,-0.006708988,0.0022931946,-0.069882367,-0.005528337,0.0121079741,0.1689807688,0.1689670686,-0.030021074,-0.033319969,0.0687448967,0.0298099944,-0.065501135,0.0045696477,-0.071520865,-0.059146949,-0.045610502,0.0395476994,-0.042662512,-0.033073512,0.0208189743,-0.030360482,0.0226471852,0.0451960001,0.0929067952,-0.010700084,0.0702585179,0.0702585179,0.0702585179,0.0702585179,0.0702585179,0.0702585179,0.0401780703,-0.029647845,0.0093711893,-0.030297452,-0.030297452,-0.030297452,0.0702585179,0.0702585179,0.018355103,0.0702585179
19800829,0.0324278088,0.0068419394,-0.046353069,-0.013502781,-0.016944761,-0.001906591,0.0117588171,-0.006342418,0.0268837437,0.0245025319,0.0128136881,-0.009200184,-0.04657567,-0.026311528,-0.036151828,-0.015695635,0.0012241147,0.0286254347,0.0541825275,-0.088270562,-0.025051201,-0.002881261,0.0144590774,-0.006183379,-0.033854992,0.0453258906,-0.016753144,-0.012392067,-0.017430219,-0.008746979,0.0393234784,-0.016316034,-0.054798132,0.0039162125,0.02739161,0.0066680397,0.0268936559,0.0287273031,0.0173062405,-0.010601601,-0.005920077,0.0457237917,0.0519936918,-0.042938963,-0.00566873,0.0229054917,0.003640263,0.0004277547,0.0075167163,-0.027171196,0.0263390369,0.0092228109,0.0031242572,-0.020603063,0.0235392485,-0.010046396,0.032196124,0.0370513532,0.0591445574,-0.016076477,0.0229054917,0.0575175984,0.0524678169,0.0487405884,-0.012920411,0.0285337437,0.0635332505,0.0635280324,-0.050108837,-0.052062195,0.0679623151,0.0475937307,0.0326986316,0.0528231711,-0.004406764,-0.019662062,0.0305498472,0.0316418404,-0.075281302,-0.067000702,0.0499166966,-0.047396122,0.0281008536,0.0445355887,0.0231994287,-0.0018501,0.0229054917,0.0229054917,0.0229054917,0.0229054917,0.0229054917,0.0229054917,-0.033950158,0.0046247033,0.0156988267,-0.046592167,-0.046592167,-0.046592167,0.0229054917,0.0229054917,-0.015326936,0.0229054917
19800930,-0.009355963,-0.027861883,-0.046465808,0.0530471526,-0.040271632,0.0022926381,0.0285319128,0.0006593528,0.0439655776,0.0221076931,0.0199870798,0.0219069415,-0.022261233,-0.023234358,-0.00782578,0.0180906237,0.002723318,0.0315062785,0.0232152903,-0.074358452,-0.044149167,0.0495339416,0.0238882558,-0.007350409,0.0259353523,0.011691883,-0.002370329,0.0706279375,-0.023226511,0.0216636459,0.0198406043,-0.05585607,-0.04411407,-0.020771165,0.0080518734,0.0617427389,0.0027916901,0.0472148291,0.0544433878,0.0099116189,-0.021526601,-0.03499904,0.0340371761,-0.028935278,-0.057423061,0.030130154,0.0067804021,-0.022217979,-0.031022575,-0.015859178,0.0574854058,-0.022681443,-0.007967931,-0.037875951,0.0504130775,0.0094499032,0.0643461685,0.0426152187,0.0408885135,-0.00827289,0.030130154,0.0186358259,0.0053323023,0.0397794606,-0.014121986,0.0316263232,0.0822212938,0.0822400355,-0.076514816,-0.010396288,0.0652269138,0.0165911766,0.066887325,0.0236599125,0.0163327015,-0.021656108,0.0913862438,0.0905033836,-0.016420236,-0.00577881,0.024770008,-0.029795629,-0.001612683,0.0072157599,0.0116142826,0.0095580758,0.030130154,0.030130154,0.030130154,0.030130154,0.030130154,0.030130154,0.0021728512,0.0233688576,0.0409814817,-0.030030206,-0.030030206,-0.030030206,0.030130154,0.030130154,0.0025069902,0.030130154
19801031,0.0237804215,0.018044757,-0.037492579,0.0076572119,-0.008070815,0.0230339359,0.0195493297,-0.002270747,0.0488690305,0.0327269093,0.0053724348,0.0180198092,-0.046680702,-0.037730133,-0.047859115,-0.001223831,0.0060503488,0.0079912274,-0.005305187,-0.061174993,-0.012388106,0.0019300835,0.0143191265,-0.016290667,0.0316141492,-0.014859056,0.003647791,0.0163676963,-0.02384807,-0.005653974,0.0196745365,-0.061478304,-0.048643916,0.0307428372,-0.003119899,0.0564521997,0.0510202982,0.048375178,0.0375584322,-0.028602938,-0.020996063,0.0350558349,0.0093640576,-0.047867594,-0.084713586,0.0214393877,0.0229974744,-0.007061315,-0.004798966,0.0030213392,0.0378883983,-0.02142859,0.0176377493,-0.018129992,0.1036874038,-0.000360109,0.0615563338,0.0346951389,0.056573224,0.0522274674,0.0214393877,-0.021211336,-0.032572672,0.0916622849,0.0297123844,0.0181639474,0.0723817012,0.0723920072,-0.00436644,0.0116805292,0.048642807,-0.002312144,0.0657250532,0.0315957935,0.0716447194,0.0476590939,0.0821701101,0.0308024057,-0.027097328,-0.024094364,0.0336285763,-0.046512568,-0.018601287,-0.019948544,0.0302189294,-0.004407747,0.0214393877,0.0214393877,0.0214393877,0.0214393877,0.0214393877,0.0214393877,-0.01763124,0.0388908741,0.0405721205,-0.030398587,-0.030398587,-0.030398587,0.0214393877,0.0214393877,0.0135880767,0.0214393877
