,time,year,month,mom6m,mom12m,chmom,mom126m,bmom1m
0,0,1980,1,0.023016779900000003,0.0432833413,-0.019630013,0.04264679290000001,1
1,1,1980,2,0.0399167096,0.0472763433,-0.009960923,0.0498776326,1
2,2,1980,3,-0.04453789,-0.060337820999999986,-0.010357318,-0.03418057199999999,1
3,3,1980,4,0.0437125206,0.0483514235,-0.027405585,0.0711181056,1
4,4,1980,5,-0.030408829,-0.017396418,-0.034547862,0.004139033,1
5,5,1980,6,0.0106586764,0.026072084900000004,-0.031133274,0.0417919504,1
6,6,1980,7,0.0052437401,0.0131295711,-0.032955509,0.0381992491,1
7,7,1980,8,-0.027425499,0.0145643256,-0.04305562,0.015630121000000004,0
8,8,1980,9,-0.006432938000000001,0.0349009068,-0.051328087,0.044895149,1
9,9,1980,10,0.0552585338,0.0673254073,0.0300199671,0.025238566700000003,0
10,10,1980,11,0.0822926432,0.1342404057,-0.009430659,0.0917233022,0
11,11,1980,12,-0.051293198,-0.032341681000000004,-0.048477267,-0.0028159310000000007,1
12,12,1981,1,-0.070735393,-0.083102915,-0.071941067,0.0012056740000000038,1
13,13,1981,2,-0.032830163,-0.020069906,-0.038519988,0.005689824999999996,0
14,14,1981,3,-0.009794365,0.0081102433,-0.045400298,0.035605933,1
15,15,1981,4,-0.001968025,0.0096458223,-0.001810207,-0.0001578179999999999,1
16,16,1981,5,0.0419626477,0.0395971546,0.0045323575,0.0374302902,0
17,17,1981,6,0.0367275248,-0.027949124,0.052550355,-0.0158228302,1
18,18,1981,7,-0.031761481,-0.009458355,-0.017082843,-0.014678638,1
19,19,1981,8,0.0010993127,-0.003017638,0.0108747609,-0.0097754482,0
20,20,1981,9,0.0385572735,0.0303155702,0.0262908592,0.012266414300000004,0
21,21,1981,10,0.0196130317,0.0455176241,-0.036392235,0.0560052667,1
22,22,1981,11,0.06694769099999999,0.0541714557,0.008882626800000001,0.05806506419999999,1
23,23,1981,12,0.0247955613,0.0309128242,-0.010239399,0.0350349603,1
24,24,1982,1,-0.030409355,-0.019780806,-0.031101556,0.0006922009999999999,1
25,25,1982,2,0.0317699915,0.0322329962,0.011482281,0.020287710499999997,0
26,26,1982,3,0.0236910348,0.0197401446,-0.002561938,0.0262529728,1
27,27,1982,4,0.0123579599,0.0093444853,0.000354036,0.0120039239,1
28,28,1982,5,0.023755384,0.0268840594,0.0022692771,0.0214861069,1
29,29,1982,6,0.0668292487,0.0714720676,0.0288344927,0.037994756,0
30,30,1982,7,0.04851882,0.0447552746,0.0218483835,0.0266704365,1
31,31,1982,8,-0.024482942,-0.010896918,-0.034267816,0.009784873999999999,1
