Acronym,Paper’s author(s),"Date, Journal",Definition of the characteristic-based anomaly variable
absacc,"Bandyopadhyay, Huang & Wirjanto","2010, WP",Absolute value of acc.
acc,Sloan,"1996, TAR",Annual income before extraordinary items (ib) minus operating cash flows (oancf) divided by average total assets (at); if oancf is missing then set to change in act - change in che - change in lct + change in dlc + change in txp-dp.
aeavol,"Lerman, Livnat & Mendenhall","2007, WP",Average daily trading volume (vol) for 3 days around earnings announcement minus average daily volume for 1-month ending 2 weeks before earnings announcement divided by 1-month average daily volume. Earnings announcement day from Compustat quarterly (rdq).
age,"Jiang, Lee & Zhang","2005, RAS",Number of years since first Compustat coverage.
agr,"Cooper, Gulen & Schill","2008, JF",Annual percent change in total assets (at).
baspread,Amihud & Mendelson,"1989, JF",Monthly average of daily bid-ask spread divided by average of daily spread.
beta,Fama & MacBeth,"1973, JPE",Estimated market beta from weekly returns and equal weighted market returns for 3 years ending month t-1 with at least 52 weeks of returns.
betasq,Fama & MacBeth,"1973, JPE",Market beta squared.
bm,"Rosenberg, Reid & Lanstein","1985, JPM",Book value of equity (ceq) divided by end of fiscal-year-end market capitalization.
bm_ia,"Asness, Porter & Stevens","2000, WP",Industry adjusted book-to-market ratio.
cash ,Palazzo,"2012, JFE",Cash and cash equivalents divided by average total assets.
cashdebt,Ou & Penman,"1989, JAE",Earnings before depreciation and extraordinary items (ib+dp) divided by avg. total liabilities (lt).
cashpr,Chandrashekar & Rao,"2009, WP",Fiscal year end market capitalization plus long term debt (dltt) minus total assets (at) divided by cash and equivalents (che).
cfp ,"Desai, Rajgopal & Venkatachalam","2004, TAR",Operating cash flows divided by fiscal-year-end market capitalization.
cfp_ia,"Asness, Porter & Stevens","2000, WP",Industry adjusted cfp.
chatoia,Soliman,"2008, TAR",2-digit SIC - fiscal-year mean adjusted change in sales (sale) divided by average total assets (at).
chcsho,Pontiff & Woodgate,"2008, JF",Annual percent change in shares outstanding (csho).
chempia,"Asness, Porter & Stevens","1994, WP",Industry-adjusted change in number of employees.
chfeps,"Hawkins, Chamberlin & Daniel","1984, FAJ",Mean analyst forecast in month prior to fiscal period end date from I/B/E/S summary file minus same mean forecast for prior fiscal period using annual earnings forecasts.
chinv,Thomas & Zhang,"2002, RAS",Change in inventory (inv) scaled by average total assets (at).
chmom,Gettleman & Marks,"2006, WP",Cumulative returns from months t-6 to t-1 minus months t-12 to t-7.
chnanalyst,Scherbina,"2007, WP",Change in nanalyst from month t-3 to month t.
chpmia,Soliman,"2008, TAR",2-digit SIC - fiscal-year mean adjusted change in income before extraordinary items (ib) divided by sales (sale).
chtx,Thomas & Zhang,"2011, JAR",Percent change in total taxes (txtq) from quarter t-4 to t.
cinvest,"Titman, Wei & Xie","2004, JFQA","Change over one quarter in net PP&E (ppentq) divided by sales (saleq) - average of this variable for prior 3 quarters; if saleq = 0, then scale by 0.01."
convind,Valta,"2016, JFQA",An indicator equal to 1 if company has convertible debt obligations.
currat,Ou & Penman,"1989, JAE",Current assets / current liabilities.
depr,Holthausen & Larcker,"1992, JAE",Depreciation divided by PP&E.
disp,"Diether, Malloy & Scherbina","2002, JF","Standard deviation of analyst forecasts in month prior to fiscal period end date divided by the absolute value of the mean forecast; if meanest = 0, then scalar set to 1. Forecast data from I/B/E/S summary files."
divi,"Michaely, Thaler & Womack","1995, JF",An indicator variable equal to 1 if company pays dividends but did not in prior year.
divo,"Michaely, Thaler & Womack","1995, JF",An indicator variable equal to 1 if company does not pay dividend but did in prior year.
dolvol,"Chordia, Subrahmanyam & Anshuman","2001, JFE",Natural log of trading volume times price per share from month t-2.
dy,Litzenberger & Ramaswamy,"1982, JF",Total dividends (dvt) divided by market capitalization at fiscal year-end.
ear,"Kishore, Brandt, Santa-Clara & Venkatachalam","2008, WP",Sum of daily returns in three days around earnings announcement. Earnings announcement from Compustat quarterly file (rdq).
egr,"Richardson, Sloan, Soliman & Tuna","2005, JAE",Annual percent change in book value of equity (ceq).
ep,Basu,"1977, JF",Annual income before extraordinary items (ib) divided by end of fiscal year market cap.
fgr5yr,Bauman & Dowen,"1988, FAJ",Most recently available analyst forecasted 5-year growth.
gma,Novy-Marx,"2013, JFE",Revenues (revt) minus cost of goods sold (cogs) divided by lagged total assets (at).
grCAPX,Anderson & Garcia-Feijoo,"2006, JF",Percent change in capital expenditures from year t-2 to year t.
grltnoa,"Fairfield, Whisenant & Yohn","2003, TAR",Growth in long term net operating assets.
herf,Hou & Robinson,"2006, JF",2-digit SIC - fiscal-year sales concentration (sum of squared percent of sales in industry for each company).
hire,"Bazdresch, Belo & Lin","2014, JPE",Percent change in number of employees (emp).
idiovol,"Ali, Hwang & Trombley","2003, JFE",Standard deviation of residuals of weekly returns on weekly equal weighted market returns for 3 years prior to month end.
ill,Amihud,"2002, JFM",Average of daily (absolute return / dollar volume).
indmom,Moskowitz & Grinblatt,"1999, JF",Equal weighted average industry 12-month returns.
invest,Chen & Zhang,"2010, JF","Annual change in gross property, plant, and equipment (ppegt) + annual change in inventories (invt) all scaled by lagged total assets (at)."
IPO,"Loughran, Ritter & Ritter","1995, JF",An indicator variable equal to 1 if first year available on CRSP monthly stock file.
lev,Bhandari,"1988, JF",Total liabilities (lt) divided by fiscal year end market capitalization.
lgr,"Richardson, Sloan, Soliman & Tuna","2005, JAE",Annual percent change in total liabilities (lt).
maxret,"Bali, Cakici & Whitelaw","2011, JFE",Maximum daily return from returns during calendar month t-1.
mom12m,Jegadeesh,"1990, JF",11-month cumulative returns ending one month before month end.
mom1m,Jegadeesh & Titman,"1993, JF",1-month cumulative return.
mom36m,Jegadeesh & Titman,"1993, JF",Cumulative returns from months t-36 to t-13.
mom6m,Jegadeesh & Titman,"1993, JF",5-month cumulative returns ending one month before month end.
ms,Mohanram,"2005, RAS",Sum of 8 indicator variables for fundamental performance.
mve,Banz,"1981, JFE",Natural log of market capitalization at end of month t-1.
mve_ia,"Asness, Porter & Stevens","2000, WP",2-digit SIC industry-adjusted fiscal year-end market capitalization.
nanalyst,"Elgers, Lo & Pfeiffer","2001, TAR",Number of analyst forecasts from most recently available I/B/E/S summary files in month prior to month of portfolio formation.  nanalyst set to zero if not covered in I/B/E/S summary file.
nincr,"Barth, Elliott & Finn","1999, JAR",Number of consecutive quarters (up to eight quarters) with an increase in earnings (ibq) over same quarter in the prior year.
operprof,Fama & French,"2015, JFE",Revenue minus cost of goods sold - SG&A expense - interest expense divided by lagged common shareholders' equity.
orgcap,Eisfeldt & Papanikolaou,"2013, JF",Capitalized SG&A expenses.
